from,to,action,p(s'a|s)
0,0,5,0.3333333333333333
0,0,4,0.3333333333333333
0,1369,3,0.1111111111111111
0,168,1,0.1111111111111111
0,168,5,0.1111111111111111
1,1,0,0.17791411042944785
1,1,4,0.006134969325153374
1,1087,5,0.6380368098159509
1,1060,5,0.13496932515337423
1,56,0,0.024539877300613498
1,56,4,0.003067484662576687
1,1220,5,0.006134969325153374
1,725,0,0.003067484662576687
1,3,2,0.003067484662576687
1,1311,1,0.003067484662576687
2,714,5,0.40476190476190477
2,2,5,0.40476190476190477
2,2,0,0.023809523809523808
2,968,1,0.09523809523809523
2,1193,1,0.07142857142857142
3,198,3,0.21212121212121213
3,34,3,0.3939393939393939
3,84,3,0.06060606060606061
3,1582,3,0.12121212121212122
3,1565,1,0.06060606060606061
3,3,4,0.030303030303030304
3,1414,3,0.06060606060606061
3,1160,0,0.030303030303030304
3,1160,3,0.030303030303030304
4,760,1,0.3157894736842105
4,847,3,0.05263157894736842
4,87,2,0.05263157894736842
4,4,2,0.42105263157894735
4,4,4,0.05263157894736842
4,321,2,0.10526315789473684
5,1057,3,0.32558139534883723
5,1057,4,0.06976744186046512
5,1242,2,0.27906976744186046
5,270,1,0.023255813953488372
5,5,3,0.06976744186046512
5,5,4,0.023255813953488372
5,1132,1,0.11627906976744186
5,425,2,0.046511627906976744
5,550,2,0.023255813953488372
5,291,2,0.023255813953488372
6,379,0,0.2222222222222222
6,538,5,0.07407407407407407
6,538,4,0.16666666666666666
6,538,1,0.1111111111111111
6,6,4,0.16666666666666666
6,6,5,0.018518518518518517
6,803,4,0.05555555555555555
6,735,4,0.018518518518518517
6,1069,3,0.018518518518518517
6,344,0,0.09259259259259259
6,73,4,0.018518518518518517
6,228,3,0.018518518518518517
6,725,0,0.018518518518518517
7,855,1,0.125
7,702,1,0.375
7,7,4,0.25
7,1407,3,0.25
8,710,3,0.5
8,8,4,0.25
8,8,2,0.25
9,681,0,0.5
9,9,5,0.25
9,387,2,0.25
10,10,5,0.25
10,58,5,0.25
10,926,3,0.25
10,580,3,0.25
11,502,0,0.46875
11,1499,3,0.03125
11,11,5,0.4375
11,1334,0,0.03125
11,34,5,0.03125
12,1386,2,0.5
12,13,4,0.25
12,13,1,0.25
13,158,3,0.5555555555555556
13,191,1,0.1111111111111111
13,1310,2,0.2222222222222222
13,1438,3,0.1111111111111111
14,1210,0,1.0
15,15,4,0.8
15,360,1,0.2
16,88,2,0.3333333333333333
16,16,1,0.3333333333333333
16,16,5,0.16666666666666666
16,180,1,0.16666666666666666
17,433,2,0.1111111111111111
17,380,1,0.4444444444444444
17,1228,1,0.1111111111111111
17,1044,5,0.2222222222222222
17,1047,2,0.1111111111111111
18,1417,5,0.75
18,1077,5,0.125
18,18,1,0.125
19,1134,1,1.0
20,827,0,0.5454545454545454
20,20,5,0.45454545454545453
21,989,5,0.6923076923076923
21,21,4,0.07692307692307693
21,1294,5,0.07692307692307693
21,539,1,0.07692307692307693
21,1513,3,0.07692307692307693
22,780,2,0.24
