id,value,p(s)
0,HELD_PLAYER(NOTHING)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;NOT_STARTED)+ACTION2NEAREST(ONION;TOP)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;LEFT)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;INTERACT)+ACTION2NEAREST(POT0;LEFT)+PARTNER_POSITION(NORTHWEST),1.4962593516209477e-05
1,HELD_PLAYER(DISH)+HELD_PARTNER(ONION)+POT_STATE(POT0;FINISHED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;BOTTOM)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;INTERACT)+PARTNER_POSITION(WEST),0.0005436408977556109
2,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;FINISHED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;BOTTOM)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;INTERACT)+PARTNER_POSITION(SOUTH),7.315045719035743e-05
3,HELD_PLAYER(DISH)+HELD_PARTNER(ONION)+POT_STATE(POT0;FINISHED)+ACTION2NEAREST(ONION;INTERACT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;LEFT)+PARTNER_POSITION(SOUTHWEST),5.486284289276808e-05
4,HELD_PLAYER(SOUP)+HELD_PARTNER(ONION)+POT_STATE(POT0;NOT_STARTED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;LEFT)+PARTNER_POSITION(NORTHWEST),3.1587697423108896e-05
5,HELD_PLAYER(DISH)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;PREPARING)+ACTION2NEAREST(ONION;TOP)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;RIGHT)+ACTION2NEAREST(DISH;BOTTOM)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;RIGHT)+PARTNER_POSITION(NORTH),7.315045719035743e-05
6,HELD_PLAYER(DISH)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;COOKING)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;INTERACT)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;TOP)+PARTNER_POSITION(WEST),8.977556109725686e-05
7,HELD_PLAYER(DISH)+HELD_PARTNER(ONION)+POT_STATE(POT0;COOKING)+ACTION2NEAREST(ONION;RIGHT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;BOTTOM)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;LEFT)+PARTNER_POSITION(WEST),1.3300083125519534e-05
8,HELD_PLAYER(NOTHING)+HELD_PARTNER(DISH)+POT_STATE(POT0;PREPARING)+ACTION2NEAREST(ONION;TOP)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;LEFT)+PARTNER_POSITION(NORTHWEST),6.650041562759767e-06
9,HELD_PLAYER(DISH)+HELD_PARTNER(ONION)+POT_STATE(POT0;PREPARING)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;TOP)+PARTNER_POSITION(SOUTH),6.650041562759767e-06
10,HELD_PLAYER(NOTHING)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;PREPARING)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;TOP)+ACTION2NEAREST(SERVICE;INTERACT)+ACTION2NEAREST(POT0;LEFT)+PARTNER_POSITION(NORTHWEST),6.650041562759767e-06
11,HELD_PLAYER(DISH)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;FINISHED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;TOP)+PARTNER_POSITION(SOUTHWEST),5.486284289276808e-05
12,HELD_PLAYER(DISH)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;PREPARING)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;INTERACT)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;TOP)+PARTNER_POSITION(NORTH),6.650041562759767e-06
13,HELD_PLAYER(DISH)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;PREPARING)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;INTERACT)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;TOP)+PARTNER_POSITION(NORTHWEST),1.4962593516209477e-05
14,HELD_PLAYER(DISH)+HELD_PARTNER(DISH)+POT_STATE(POT0;FINISHED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;TOP)+PARTNER_POSITION(SOUTHWEST),1.6625103906899418e-06
15,HELD_PLAYER(DISH)+HELD_PARTNER(DISH)+POT_STATE(POT0;COOKING)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;BOTTOM)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;TOP)+PARTNER_POSITION(WEST),8.31255195344971e-06
16,HELD_PLAYER(DISH)+HELD_PARTNER(ONION)+POT_STATE(POT0;COOKING)+ACTION2NEAREST(ONION;RIGHT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;INTERACT)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;RIGHT)+PARTNER_POSITION(NORTHEAST),9.97506234413965e-06
17,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;FINISHED)+ACTION2NEAREST(ONION;INTERACT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;BOTTOM)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;RIGHT)+PARTNER_POSITION(NORTHEAST),1.4962593516209477e-05
18,HELD_PLAYER(SOUP)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;NOT_STARTED)+ACTION2NEAREST(ONION;TOP)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;RIGHT)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;INTERACT)+ACTION2NEAREST(POT0;LEFT)+PARTNER_POSITION(NORTHWEST),1.3300083125519534e-05
19,HELD_PLAYER(NOTHING)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;COOKING)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;RIGHT)+ACTION2NEAREST(DISH;BOTTOM)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;RIGHT)+PARTNER_POSITION(NORTH),1.6625103906899418e-06
20,HELD_PLAYER(DISH)+HELD_PARTNER(DISH)+POT_STATE(POT0;FINISHED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;TOP)+PARTNER_POSITION(NORTHWEST),1.828761429758936e-05
21,HELD_PLAYER(NOTHING)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;PREPARING)+ACTION2NEAREST(ONION;RIGHT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;INTERACT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;LEFT)+PARTNER_POSITION(WEST),2.1612635078969244e-05
22,HELD_PLAYER(SOUP)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;NOT_STARTED)+ACTION2NEAREST(ONION;INTERACT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;BOTTOM)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;LEFT)+PARTNER_POSITION(WEST),4.1562759767248545e-05
23,HELD_PLAYER(DISH)+HELD_PARTNER(ONION)+POT_STATE(POT0;PREPARING)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;RIGHT)+ACTION2NEAREST(POT0;INTERACT)+PARTNER_POSITION(EAST),7.647547797173732e-05
